isced11,hlth_pb,sex,age,geo,OBS_VALUE,OBS_FLAG
ED5-8,DPR,T,TOTAL,BE,6.3,
ED5-8,DPR,T,Y15-24,BE,0.4,
ED5-8,DPR,T,Y15-64,BE,6.7,
ED5-8,DPR,T,Y25-34,BE,5.7,
ED5-8,DPR,T,Y35-44,BE,7.9,
ED5-8,DPR,T,Y45-54,BE,6.6,
ED5-8,DPR,T,Y45-64,BE,6.9,
ED5-8,DPR,T,Y55-64,BE,7.4,
ED5-8,DPR,T,Y65-74,BE,4.3,
ED5-8,DPR,T,Y_GE65,BE,3.9,
ED5-8,DPR,T,Y_GE75,BE,3.2,
TOTAL,DPR,T,TOTAL,BE,8.4,
TOTAL,DPR,T,Y15-24,BE,6.8,
TOTAL,DPR,T,Y15-64,BE,9,
TOTAL,DPR,T,Y25-34,BE,7.7,
TOTAL,DPR,T,Y35-44,BE,10.2,
TOTAL,DPR,T,Y45-54,BE,9.9,
TOTAL,DPR,T,Y45-64,BE,9.8,
TOTAL,DPR,T,Y55-64,BE,9.7,
TOTAL,DPR,T,Y65-74,BE,6.4,
TOTAL,DPR,T,Y_GE65,BE,6.3,
TOTAL,DPR,T,Y_GE75,BE,6.1,
